Situation,Arabic,Transliteration,English
"Emergencies","رِن الشُرطة","rin ish-shoorTa","Phone the police"
"Emergencies","حَدا سَرَق مِنّي","Hada saraq minnee","Someone robbed me"
"Emergencies","بِدّي أشتَكي عن حَدا","biddee ashtakee 3n Hada","I want to make a complaint against someone"
"Emergencies","أنا مَريض كتير","ana mareeD kteer","I'm really sick"
"Emergencies","بِدّي أسعاف","biddee as3af","I need an ambulance"
"Emergencies","لازِم أروح عَالمُستَشفى","lazim arooH 3almoostashfa","I need to go to hospital"
"Emergencies","مَركِز الشُرطة","markiz ish-shoorTa","Police station"
"Emergencies","مُستَشفى","moostashfa","Hospital Noun"
"Emergencies","سَفارة","safara","Embassy Noun"
"Emergencies","دُكتور","dooktoor","Doctors Noun"
"Emergencies","محَطة بَنزين","mHaTa banzeen","Gas station"
"Emergencies","مَحكَمة","maHkama","Court"
"Emergencies","مُحَامِي","mooHami","Lawyer Noun"
"Emergencies","بِدّي مُحامي","biddee mooHamee","I need a lawyer"
"Emergencies","أنا لازِم أحكي مَع سَفّارَتي","ana lazim aHkee ma3 saffaratee","I need to speak to my embassy"
"Emergencies","قَضية","qaDeea","Court case Noun"
"Emergencies","شَنتة","shanta","Bag Noun"
"Emergencies","جُزدان","joozdan","Wallet Noun"
"Emergencies","كَميرا","kameera","Camera"
"Emergencies","جَوّاز","jawwaz","Passport"
"Emergencies","تَلِفون","talifoon","Telephone Noun"
"Emergencies","مَصاري","maSaree","Money Noun"
"Question words","مين","meen","Who Functional"
"Question words","شو","shoo","What Functional"
"Question words","مَتى","mata","When"
"Question words","وَين","wayn","Where Functional"
"Question words","لَيش","laysh","Why Functional"
"Question words","أيّ","aeeee","Which Functional"
"Question words","كيف","keef","How Functional"
"Question words","قَدَّيش","qaddaysh","How much Functional"
"Question words","كَم","kam","How many Functional"
"Response words","آه","aah","Yes Functional"
"Response words","لا","la","No Functional"
"Response words","مُمكِن","moomkin","Maybe Functional"
"Response words","عالأغلَب","3alaghlab","Probably"
"Response words","أكيد","akeed","Definitely Functional"
"Response words","طَبعاً","Tab3an","Of course"
"Colours","أحمَر","aHmar","Red Adjective"
"Colours","بردقاني","brdqanee","Orange Adjective"
"Colours","أصفَر","aSfar","Yellow Adjective"
"Colours","أخضَر","akhDar","Green Adjective"
"Colours","أزرَق","azraq","Blue Adjective"
"Colours","زَهري","zahree","Pink Adjective"
"Colours","أرجواني","arjooanee","Purple Adjective"
"Colours","أبيَض","abyaD","White Adjective"
"Colours","أسوَد","aswad","Black Adjective"
"Colours","سَكَني","sakanee","Grey"
"Colours","بِنّي","binnee","Brown Adjective"
"Colours","زَيتوني","zaytoonee","Olive green"
"Colours","كُحلي","kooHlee","Navy blue Adjective"
"Colours","خَمري","khamree","Dark red"
"Colours","فَضّي","faDDee","Silver Adjective"
"Colours","ذَهبي","dhahbee","Gold Adjective"
"Colours","... فاتِح","fatiH","Light ... 16 options"
"Colours","... غامِق","ghamiq","Dark ... 16 options"
"Work","أنا بَشتَغِل ...","ana bashtaghil","I work as a ... 10 options"
"Work","شو بتِشتَغِل؟","shoo btishtaghil?","What do you work as?"
"Work","أنا بداوَم مِن ساعة ...","ana bdawam min sa3a","I work from ... o'clock"
"Work","أنا بداوَم لِساعة ...","ana bdawam lisa3a","I work until ... o'clock"
"Work","قَدَّيش راتِبَك؟","qaddaysh ratibak?","How much is your salary?"
"Work","راتِبي ... كُلّ شَهَر","ratibee kooll shahar","My salary is ... every month"
"Work","دُكتور","dooktoor","Doctor Noun"
"Work","مُدَرِّس / مُعلِّم","moodarris moo3llim","Teacher"
"Work","مُهَندَس","moohandas","Engineer Noun"
"Work","عالِم","3alim","Scientist"
"Work","نَضّاف","naDDaf","Cleaner"
"Work","طَبّاخ","Tabbakh","Chef Noun"
"Work","خَبّاز","khabbaz","Baker"
"Work","خَضّار","khaDDar","Grocer"
"Work","فَنّان","fannan","Artist Noun"
"Work","كاتِب","katib","Writer Noun"
"Countries","الشَرَق الأوسَط","ish-sharaq il-aoosaT","The middle east"
"Countries","الشام","ish-sham","The levant"
"Countries","آسيا","aaseea","Asia"
"Countries","أُروبّا","ooroobba","Europe Noun"
"Countries","أمريكا الجَنوبية","amreeka il-janoobeea","South America"
"Countries","أمريكا الشَمالية","amreeka ish-shamaleea","North America"
"Countries","فَلَسطين","falasTeen","Palestine Noun"
"Countries","سوريا","sooreea","Syria Noun"
"Countries","لُبنان","loobnan","Lebanon Noun"
"Countries","الأُردُن","il-oordoon","Jordan Noun"
"Countries","العِراق","il-3iraq","Iraq Noun"
"Countries","إيران","ieeran","Iran Noun"
"Countries","إسرائيل","isra2eel","Israel Noun"
"Countries","كوَيت","kwayt","Kuwait Noun"
"Countries","عُمان","3ooman","Oman Noun"
"Countries","اليَمَن","il-yaman","Yemen Noun"
"Countries","السَعوديّة","is-sa3oodeeeea","Saudi Arabia Noun"
"Countries","الإمارات","il-imarat","The Emirates Noun"
"Countries","بَحرَين","baHrayn","Bahrain Noun"
"Countries","مَصر","maSr","Egypt Noun"
"Countries","سودان","soodan","Sudan Noun"
"Countries","الصومال","iS-Soomal","Somalia Noun"
"Countries","ليبيا","leebeea","Libya Noun"
"Countries","تونِس","toonis","Tunisia Noun"
"Countries","الجزائر","il-jza2r","Algeria Noun"
"Countries","المَغرَب","il-maghrab","Morocco Noun"
"Countries","الصَحراء الغَربيّة","iS-SaHra2 il-gharbeeeea","The Western Sahara"
"Countries","مالي","malee","Mali Noun"
"Countries","برِيطانيا","briTaneea","Britain Noun"
"Countries","فرَنسا","fransa","France Noun"
"Countries","ألمانيا","almaneea","Germany Noun"
"Countries","بَلجيكا","baljeeka","Belgium Noun"
"Countries","إيطاليا","ieeTaleea","Italy Noun"
"Countries","إسبانيا","isbaneea","Spain Noun"
"Countries","بُلاندا","boolanda","Poland Noun"
"Countries","هُلاندا","hoolanda","Netherlands Noun"
"Countries","نِمسا","nimsa","Austria"
"Countries","اليونان","il-eeoonan","Greece Noun"
"Countries","روسيّا","rooseeeea","Russia Noun"
"Countries","الصين","iS-Seen","China Noun"
"Countries","الهِند","il-hind","India Noun"
"Countries","اليابان","il-eeaban","Japan Noun"
"Countries","باكِستان","bakistan","Pakistan Noun"
"Countries","أفغَنِستان","afghanistan","Afghanistan Noun"
"Countries","تُركيّا","toorkeeeea","Turkey Noun"
"Countries","إندونيسيا","indooneeseea","Indonesia Noun"
"Countries","الأرجَنتينا","il-arjanteena","Argentina Noun"
"Countries","برازيل","brazeel","Brazil Noun"
"Countries","كَنَدا","kanada","Canada Noun"
"Countries","كولومبيا","kooloombeea","Colombia Noun"
"Countries","المَكسيك","il-makseek","Mexico Noun"
"Countries","أمريكا","amreeka","America (USA) Noun"
"Sightseeing","بِدّي أشوف ...","biddee ashoof","I want to see ... 4 options"
"Sightseeing","في فنادِق هُناك؟","fee fnadiq hoonak?","Are there hotels there?"
"Sightseeing","وَين لازِم أزور؟","wayn lazim azoor?","Where should I visit?"
"Sightseeing","مَتى بيفتَح؟","mata beeftaH?","What time does it open?"
"Sightseeing","مَتى بيسَكِّر؟","mata beesakkir?","What time does it close?"
"Sightseeing","قَدَّيش الدُخولية؟","qaddaysh id-dookhooleea?","How much is the admission?"
"Sightseeing","في خَصم للطُلّاب؟","fee khaSm llToollab?","Is there a discount for students?"
"Sightseeing","بِدّي ...","biddee","I'd like a ... 3 options"
"Sightseeing","شامل ال...؟","shaml il-...?","Is the ... included? 4 options"
"Sightseeing","شو هادا؟","shoo hada?","What's that?"
"Sightseeing","مُمكِن أصَوِّر؟","moomkin aSawwir?","Can I take a photo?"
"Sightseeing","كَم ساعة الرِحلة؟","kam sa3a ir-riHla?","How long is the tour?"
"Sightseeing","مَتى بنِرجَع؟","mata bnirja3?","What time will we return?"
"Sightseeing","بَتراء","batra2","Petra"
"Sightseeing","وادي رُم","wadee room","Wadi Rum"
"Sightseeing","البَحر المَيت","il-baHr il-mayt","The dead sea"
"Sightseeing","القُدس القَديمة","il-qoods il-qadeema","Jerusalem Old City"
"Sightseeing","قَلعة","qal3a","Castle Noun"
"Sightseeing","كَنيسة","kaneesa","Church Noun"
"Sightseeing","مَتحَف","matHaf","Museum Noun"
"Sightseeing","ساحة رئيسية","saHa r2eeseea","Main square"
"Sightseeing","مَسجِد","masjid","Mosque Noun"
"Sightseeing","مَدينة قَديمة","madeena qadeema","Old city"
"Sightseeing","قَصر","qaSr","Palace Noun"
"Sightseeing","الأهرام","il-ahram","Pyramids"
"Sightseeing","آثار","aathar","Ruins Noun"
"Sightseeing","بروشور","brooshoor","Brochure"
"Sightseeing","دَليل","daleel","Guide"
"Sightseeing","خَريطة المَنطَقة","khareeTa il-manTaqa","Local map"
"Sightseeing","سَكَن","sakan","Accommodation Verb"
"Sightseeing","دَخولية","dakhooleea","Admission charge"
"Sightseeing","أَكِل","akil","Food Noun"
"Sightseeing","مواصلات","mooaSlat","Transport Noun"
"Family","إِمّ","imm","Mother Noun"
"Family","أبو","aboo","Father"
"Family","أخو","akhoo","Brother"
"Family","إِخوة","ikhooa","Brothers Noun"
"Family","أُخت","ookht","Sister Noun"
"Family","خَوات","khawat","Sisters"
"Family","إِبِن","ibin","Son Noun"
"Family","بِنت","bint","Daughter Noun"
"Family","ولاد","wlad","Children Noun"
"Family","خالة","khala","Aunt (mother's side) Noun"
"Family","خال","khal","Uncle (mother's side) Noun"
"Family","عمّة","3mma","Aunt (father's side) Noun"
"Family","عمّ","3mm","Uncle (father's side) Noun"
"Family","إبن ...","ibn","Male cousin - ...'s son 4 options"
"Family","بِنت ...","bint","Female cousin - ...'s daughter 4 options"
"Family","جِدّ","jidd","Grandfather Noun"
"Family","جِدّة","jidda","Grandmother Noun"
"Family","في عَندَك ...؟","fee 3andak ...?","Do you have ..."
"Family","كَم شَخص في عائلتَك","kam shakhS fee 3a2ltak","How many people in your family?"
"Family","أنا عَندي ...","ana 3andee","I have a ..."
"Family","في ... أفراد في عايلتي","fee afrad fee 3aeeltee","There are ... people in my family"
"Dating","أنا أعزِب","ana a3zib","I'm single"
"Dating","إنتَ أعزِب؟","inta a3zib?","Are you single?"
"Dating","أنا مُتجَوِّز","ana mootjawwiz","I'm married"
"Dating","أنا مِش مُتجَوِّز","ana mish mootjawwiz","I'm not married"
"Dating","إنتِ مِتجَوِّزة / إنتَ مِتجَوِّز","inti mitjawwiza inta mitjawwiz","Are you married? (f./m.)"
"Dating","عِندِك حَبيب؟","3indik Habeeb?","Do you have a boyfriend?"
"Dating","عِندَك حَبيبة؟","3indak Habeeba?","Do you have a girlfriend?"
"Feeling ill","بَحِسّ إني مَريض","baHiss inee mareeD","I feel ill"
"Feeling ill","رَح أُمرُض","raH oomrooD","I'm going to be ill"
"Feeling ill","أنا مَريض","ana mareeD","I'm sick"
"Feeling ill","...ي بوجِّعَني","...ee boojji3anee","My ... hurts 24 options"
"Feeling ill","عِندي ألم في ...ي","3indee alm fee ...ee","I have a pain in my ... 24 options"
"Feeling ill","عَندي صُداع","3andee Sooda3","I have a headache"
"Body Parts","جِسم","jism","Body Noun"
"Body Parts","راس","ras","Head Noun"
"Body Parts","إِيد","id","Arm Noun"
"Body Parts","رِجْل","rijl","Leg Noun"
"Body Parts","وِجْه","wijh","Face Noun"
"Body Parts","عَين","3ayn","Eye Noun"
"Body Parts","عيون","3eeoon","Eyes Noun"
"Body Parts","أُنف","oonf","Nose Noun"
"Body Parts","أُذن","oodhn","Ear Noun"
"Body Parts","فَم","fam","Mouth"
"Body Parts","دَقن","daqn","Chin Noun"
"Body Parts","بَطن","baTn","Belly Noun"
"Body Parts","كَتف","katf","Shoulder Noun"
"Body Parts","ظُهر","Zoohr","Back Noun"
"Body Parts","صِدر","Sidr","Chest Noun"
"Body Parts","إِيد","id","Arm Noun"
"Body Parts","إِيد","id","Hand Noun"
"Body Parts","أُصبِع","ooSbi3","Finger Noun"
"Body Parts","كُوع","koo3","Elbow Noun"
"Body Parts","معِدة","m3ida","Stomach Noun"
"Body Parts","فَخذ","fakhdh","Thigh Noun"
"Body Parts","رُكبة","rookba","Knee Noun"
"Body Parts","قَدم","qadm","Foot Noun"
"Body Parts","أصبَع القَدم","aSba3 il-qadm","Toe"
"Occasions","مَبروك","mabrook","Congratulations"
"Occasions","بالتَوفيق","baltawfeeq","Good luck"
"Occasions","عِيد ميلادَك سَعيد","3id meeladak sa3eed","Happy Birthday"
"Occasions","عِيد مُبارَك","3id moobarak","Happy Eid"
"Occasions","عيد ميلاد مَجيد","3eed meelad majeed","Happy Christmas"
"Occasions","رَمَضان مُبارَك","ramaDan moobarak","Happy Ramadan"
"Sports","رياضة","reeaDa","Sport Noun"
"Sports","بتِلعِب ...؟","btil3ib ...?","Do you play ...? 6 options"
"Sports","أنا بِلعِب ...","ana bil3ib","I play ... 6 options"
"Sports","بتحِبّ ... ؟","btHibb ?","Do you like ...? 6 options"
"Sports","مين بتشَجِّع؟","meen btshajji3?","Who do you support?"
"Sports","أنا بشَجِّع ...","ana bshajji3","I support ..."
"Sports","بِدَّك تِلعِب ... مَعي؟","biddak til3ib ma3ee?","Do you want to play ... with me? 6 options"
"Sports","كُرة القَدم","koora il-qadm","Football"
"Sports","تَنيس طَولة","tanees Tawla","Table tennis"
"Sports","كُرة السَلّة","koora is-salla","Basketball"
"Sports","بِلياردو","bileeardoo","Pool"
"Sports","شَطرَنج","shaTranj","Chess"
"Sports","كُرة الطائرة","koora iT-Ta2ra","Volleyball"
"Personal Pronouns","أنا","ana","I / me Functional"
"Personal Pronouns","إنتَ","inta","You (masc.) Functional"
"Personal Pronouns","إنتِ","inti","You (fem.) Functional"
"Personal Pronouns","إنتو","intoo","You (plu.) Functional"
"Personal Pronouns","هُوَّ","hooa","He Functional"
"Personal Pronouns","هِيَّ","hia","She Functional"
"Personal Pronouns","هُمَّ","hoomma","They Functional"
"Personal Pronouns","إحنا","iHna","We Functional"
"Weather","كيف الجَو؟","keef il-jaw?","How's the weather?"
"Weather","الجَو ...","il-jaw","The weather is ... 7 options"
"Weather","كيف رَح يكون الجَو ...","keef raH ykoon il-jaw","How will the weather be on ...? 7 options"
"Weather","أنا ...","ana","I feel ... 4 options"
"Weather","في ...","fee","There's ... 5 options"
"Weather","هُوَّ فَصل ال...","hooa faSl il-...","It's the ... season 4 options"
"Weather","سَقَع","saqa3","Freezing"
"Weather","بَرد","bard","Cold Adjective"
"Weather","حَلو","Haloo","Nice Adjective"
"Weather","لَطيف","laTeef","Fresh"
"Weather","شَوب","shawb","Warm Adjective"
"Weather","حَرّ","Harr","Hot Adjective"
"Weather","نار","nar","So hot (fire)"
"Weather","شَوبان","shawban","Warm Adjective"
"Weather","بَردان","bardan","Cold Adjective"
"Weather","سَقعان","saq3an","Freezing"
"Weather","حَميان","Hameean","Hot"
"Weather","شِتي","shitee","Rain Noun"
"Weather","تَلج","talj","Snow Noun"
"Weather","شَمس","shams","Sun Noun"
"Weather","ضَباب","Dabab","Fog Noun"
"Weather","غَيوم","ghayoom","Clouds Noun"
"Weather","رَبيع","rabee3","Spring Noun"
"Weather","صَيف","Sayf","Summer Noun"
"Weather","خَريف","khareef","Autumn Noun"
"Weather","شِتا","shita","Winter Noun"
"Adverbs","شوَي","shway","A little Adjective"
"Adverbs","كتير","kteer","A lot Adjective"
"Adverbs","بِالكاد","bialkad","Barely"
"Adverbs","عالآخِر","3alaakhir","Extremely"
"Adverbs","لألله","lallh","""To Allah"""
"Adverbs","دايماً","daeeman","Always Functional"
"Adverbs","كتير مَرّات","kteer marrat","Often"
"Adverbs","مَرّات","marrat","Sometimes"
"Adverbs","بِالعادة","bial3ada","Usually"
"Adverbs","قَليلاً","qaleelan","Rarely"
"Adverbs","أبَداً","abadan","Never Functional"
"Adverbs","يِمكِن","yimkin","Perhaps Functional"
"Adverbs","أكيد","akeed","Definitely Functional"
"Adverbs","غالِباً","ghaliban","Probably Functional"
"Adverbs","طَبعاً","Tab3an","Naturally"
"Dictionary","حادِث","Hadith","Accident Noun"
"Dictionary","سَكَن","sakan","Accommodation Verb"
"Dictionary","موَصِّل","mwaSSil","Adapter"
"Dictionary","عِنوان","3inooan","Address Noun"
"Dictionary","بَعد","ba3d","After Functional"
"Dictionary","مكَيِّف","mkayyif","Air conditioning Adjective"
"Dictionary","طَيارة","Tayara","Airplane Noun"
"Dictionary","مَطار","maTar","Airport Noun"
"Dictionary","الكُحول","il-kooHool","Alcohol"
"Dictionary","كُلّ","kooll","All Noun"
"Dictionary","حَساسية","Hasaseea","Allergy Noun"
"Dictionary","إسعاف","is3af","Ambulance Noun"
"Dictionary","وُ","woo","And Functional"
"Dictionary","كاحِل","kaHil","Ankle Noun"
"Dictionary","ذِراع","dhira3","Arm Noun"
"Dictionary","متَكّة","mtakka","Ashtray"
"Dictionary","جِهاز الصرافة","jihaz iS-Srafa","ATM"
"Dictionary","طِفل","Tifl","Baby Noun"
"Dictionary","ظُهر","Zoohr","Back Noun"
"Dictionary","شَنتة ظَهر","shanta Zahr","Backpack"
"Dictionary","سَيء","say2","Bad Adjective"
"Dictionary","مَكان لَجَمِع الشَنتات","makan lajami3 ish-shantat","Baggage Claim"
"Dictionary","بَنك","bank","Bank Noun"
"Dictionary","بار","bar","Bar"
"Dictionary","حَمّام","Hammam","Bathroom Noun"
"Dictionary","بَطارية","baTareea","Battery"
"Dictionary","جَميل","jameel","Beautiful"
"Dictionary","بيرا","beera","Beer"
"Dictionary","قَبل","qabl","Before Functional"
"Dictionary","خَلف","khalf","Behind"
"Dictionary","بِسيكلِت","biseeklit","Bicycle Noun"
"Dictionary","كَبير","kabeer","Big Adjective"
"Dictionary","حِساب","Hisab","Bill Noun"
"Dictionary","بَطَنيّة","baTaneeeea","Blanket"
"Dictionary","فِئة الدَم","fi2a id-dam","Blood group"
"Dictionary","سَفينة","safeena","Boat Noun"
"Dictionary","كِتاب","kitab","Book Noun"
"Dictionary","بَحجَز","baHjaz","Book (I book / reserve)"
"Dictionary","قَنينة","qaneena","Bottle Noun"
"Dictionary","فاتِح القنينات","fatiH il-qneenat","Bottle opener"
"Dictionary","وَلَد","walad","Boy Noun"
"Dictionary","فطور","fToor","Breakfast Noun"
"Dictionary","مَكسور","maksoor","Broken Adjective"
"Dictionary","باص","baS","Bus Noun"
"Dictionary","شَركة","sharka","Business Noun"
"Dictionary","بِشتَري","bishtaree","Buy (I buy)"
"Dictionary","مَقهى","maqha","Café Noun"
"Dictionary","كاميرا","kameera","Camera"
"Dictionary","مُخَيِّم","mookhayyim","Camp site"
"Dictionary","عِلبة","3ilba","Can Noun"
"Dictionary","بَلغي","balghee","Cancel (I cancel)"
"Dictionary","سَيارة","sayara","Car Noun"
"Dictionary","مَصاري","maSaree","Cash Noun"
"Dictionary","موبَيل","moobayl","Cell phone"
"Dictionary","وَسط","wasT","Centre Noun"
"Dictionary","بَصَرِّف","baSarrif","Change (I change money)"
"Dictionary","رَخِيص","rakhiS","Cheap Adjective"
"Dictionary","حِساب","Hisab","Check (bill) Noun"
"Dictionary","مَكتَب التَسجيل","maktab it-tasjeel","Check-in"
"Dictionary","صِدر","Sidr","Chest Noun"
"Dictionary","طِفل","Tifl","Child Noun"
"Dictionary","سيغارة","seeghara","Cigarette"
"Dictionary","مَدينة","madeena","City Noun"
"Dictionary","نظيف","nZeef","Clean Adjective"
"Dictionary","مسَكِّر","msakkir","Closed"
"Dictionary","قَهوة","qahooa","Coffee Noun"
"Dictionary","فَراطة","faraTa","Coins Noun"
"Dictionary","بارِد","barid","Cold Adjective"
"Dictionary","بِجي","bijee","Come (I come)"
"Dictionary","كُمبيوتَر","koombeeootar","Computer Noun"
"Dictionary","الواقي","il-ooaqee","Condom"
"Dictionary","عَدَسة الأصقة","3adasa il-aSqa","Contact lenses"
"Dictionary","بَطبَخ","baTbakh","Cook (I cook)"
"Dictionary","تَكلِفة","taklifa","Cost"
"Dictionary","بَطاقة رَصيد","baTaqa raSeed","Credit Card"
"Dictionary","كاسة","kasa","Cup Noun"
"Dictionary","صَرَّافة","Sarrafa","Currency exchange Noun"
"Dictionary","جَمارُك","jamarook","Customs (immigration)"
"Dictionary","خَطير","khaTeer","Dangerous Adjective"
"Dictionary","تاريخ","tareekh","Date Noun"
"Dictionary","يُوم","yoom","Day Noun"
"Dictionary","تأخير","takheer","Delay"
"Dictionary","دُكتور إسنان","dooktoor isnan","Dentist"
"Dictionary","بَغادِر","baghadir","Depart (I depart)"
"Dictionary","قاموس","qamoos","Dictionary Noun"
"Dictionary","عشا","3sha","Dinner Noun"
"Dictionary","مُباشِر","moobashir","Direct"
"Dictionary","وِسخ","wiskh","Dirty Adjective"
"Dictionary","مُعاق","moo3aq","Disabled"
"Dictionary","خَصم","khaSm","Discount"
"Dictionary","دُكتور","dooktoor","Doctor Noun"
"Dictionary","تَخت مِزوِج","takht mizwij","Double bed"
"Dictionary","غُرفة لَشَخصَين","ghoorfa lashakhSayn","Double room"
"Dictionary","مَشروب","mashroob","Drink"
"Dictionary","بَسوق","basooq","Drive (I drive)"
"Dictionary","رُخصة القيادة","rookhSa il-qeeada","Driver's license"
"Dictionary","مُخَدِّرات","mookhaddirat","Drugs"
"Dictionary","أُذن","oodhn","Ear Noun"
"Dictionary","شَرق","sharq","East"
"Dictionary","باكُل","bakool","Eat (I eat)"
"Dictionary","الدَرجة العادية","id-darja il-3adeea","Economy class"
"Dictionary","كَهرِباء","kahriba2","Electricity Noun"
"Dictionary","مَصعَد","maS3ad","Elevator"
"Dictionary","بَريد الَكتروني","bareed il-aktroonee","Email"
"Dictionary","سَفارة","safara","Embassy Noun"
"Dictionary","طارئ","Tar2","Emergency"
"Dictionary","الإنجليزي","il-injleezee","English language"
"Dictionary","مَدخَل","madkhal","Entrance Noun"
"Dictionary","مَسا","masa","Evening Noun"
"Dictionary","سَعر التَحويل","sa3r it-taHooeel","Exchange rate"
"Dictionary","مَخرَج","makhraj","Exit Noun"
"Dictionary","غالِي","ghali","Expensive Adjective"
"Dictionary","بَريد سَريع","bareed saree3","Express mail"
"Dictionary","عَين","3ayn","Eye Noun"
"Dictionary","بَعِيد","ba3id","Far Adjective"
"Dictionary","سَرِيع","sari3","Fast Adjective"
"Dictionary","أَب","ab","Father Noun"
"Dictionary","فيلم","feelm","Film Noun"
"Dictionary","أُصبِع","ooSbi3","Finger Noun"
"Dictionary","صَندوق الإسعاف الأوّل","Sandooq il-is3af il-aooool","First aid kit"
"Dictionary","الدَرَجة الأُولى","id-daraja il-oola","First class"
"Dictionary","سَمَك","samak","Fish Noun"
"Dictionary","أَكِل","akil","Food Noun"
"Dictionary","قَدم","qadm","Foot Noun"
"Dictionary","شَوكة","shawka","Fork Noun"
"Dictionary","مَجاناً","majanan","Free (of charge)"
"Dictionary","صَديق","Sadeeq","Friend Noun"
"Dictionary","فَواكي","fawakee","Fruit Noun"
"Dictionary","مَليان","maleean","Full Adjective"
"Dictionary","مُضحِك","mooDHik","Funny Adjective"
"Dictionary","هَدية","hadeea","Gift Noun"
"Dictionary","بِنت","bint","Girl Noun"
"Dictionary","كاسة","kasa","Glass Noun"
"Dictionary","نَظّارات","naZZarat","Glasses Noun"
"Dictionary","بَروح","barooH","Go (I go)"
"Dictionary","منِيح","mniH","Good Adjective"
"Dictionary","أخضَر","akhDar","Green Adjective"
"Dictionary","دَليل","daleel","Guide"
"Dictionary","نُص","nooS","Half Noun"
"Dictionary","إِيد","id","Hand Noun"
"Dictionary","مَحفَظة يَد","maHfaZa yad","Handbag"
"Dictionary","مَبسُوط","mabsooT","Happy Adjective"
"Dictionary","عِند","3ind","Have Functional"
"Dictionary","هُوَّ","hooa","He Functional"
"Dictionary","راس","ras","Head Noun"
"Dictionary","قَلب","qalb","Heart Noun"
"Dictionary","حَرارة","Harara","Heat Noun"
"Dictionary","ثقِيل","thqil","Heavy Adjective"
"Dictionary","بَساعَد","basa3ad","Help (I help)"
"Dictionary","هون","hoon","Here Functional"
"Dictionary","عالي","3alee","High Adjective"
"Dictionary","طَريق عام","Tareeq 3am","Highway"
"Dictionary","إجازة","ijaza","Holiday"
"Dictionary","مُستَشفى","moostashfa","Hospital Noun"
"Dictionary","حار","Har","Hot"
"Dictionary","فُندُق","foondooq","Hotel Noun"
"Dictionary","جَوعان","jaw3an","Hungry Adjective"
"Dictionary","هَوية","haweea","Identity card"
"Dictionary","مَريض","mareeD","Ill Noun"
"Dictionary","مُهِمّ","moohimm","Important Adjective"
"Dictionary","شامِل","shamil","Included Verb"
"Dictionary","ضَرَر","Darar","Injury"
"Dictionary","تأمين","tameen","Insurance"
"Dictionary","إنتَرنِت","intarnit","Internet"
"Dictionary","مُتَرجِم","mootarjim","Interpreter"
"Dictionary","مُجَوهرات","moojawhrat","Jewellery"
"Dictionary","شُغل","shooghl","Job Noun"
"Dictionary","مِفتاح","miftaH","Key Noun"
"Dictionary","كيلوغرام","keelooghram","Kilogram"
"Dictionary","مَطبَخ","maTbakh","Kitchen Noun"
"Dictionary","سَكينة","sakeena","Knife Noun"
"Dictionary","مَغسَل","maghsal","Laundry"
"Dictionary","مُحَامِي","mooHami","Lawyer Noun"
"Dictionary","يسار","ysar","Left"
"Dictionary","مَكتَب الإحفاظ بِالأمتَعة","maktab il-iHfaZ bialamta3a","Left luggage"
"Dictionary","رِجْل","rijl","Leg Noun"
"Dictionary","سِحاقية","siHaqeea","Lesbian Noun"
"Dictionary","أقَل","aqal","Less"
"Dictionary","رِسالة","risala","Letter Noun"
"Dictionary","مَصعَد","maS3ad","Lift"
"Dictionary","ضَوء","Daw2","Light"
"Dictionary","بَحِبّ","baHibb","Like (I like)"
"Dictionary","قِفل","qifl","Lock"
"Dictionary","طَوِيل","Tawil","Long Adjective"
"Dictionary","ضايع","Daee3","Lost Adjective"
"Dictionary","مَكتَب الأغراض الضائعة","maktab il-aghraD iD-Da23a","Lost property"
"Dictionary","بَحِبّ","baHibb","Love (I love)"
"Dictionary","أمتَعة","amta3a","Luggage"
"Dictionary","غدا","ghda","Lunch Noun"
"Dictionary","بَريد","bareed","Mail"
"Dictionary","رَجُل","rajool","Man Noun"
"Dictionary","خَريطة","khareeTa","Map Noun"
"Dictionary","سوق","sooq","Market Noun"
"Dictionary","كبريت","kbreet","Matches"
"Dictionary","لَحم","laHm","Meat Noun"
"Dictionary","دَوا","dawa","Medicine Noun"
"Dictionary","مانيو","maneeoo","Menu"
"Dictionary","رِسالة","risala","Message Noun"
"Dictionary","حَليب","Haleeb","Milk Noun"
"Dictionary","دَقِيقة","daqiqa","Minute Noun"
"Dictionary","موبَيل","moobayl","Mobile phone"
"Dictionary","مَصاري","maSaree","Money Noun"
"Dictionary","شَهِر","shahir","Month Noun"
"Dictionary","صُبح","SoobH","Morning Noun"
"Dictionary","إِمّ","imm","Mother Noun"
"Dictionary","موتور","mootoor","Motorcycle"
"Dictionary","أوتوستراد","aootoostrad","Motorway"
"Dictionary","تُمّ","toomm","Mouth Noun"
"Dictionary","موسيقى","mooseeqa","Music Noun"
"Dictionary","إسم","ism","Name Noun"
"Dictionary","مَحرَمة","maHrama","Napkin"
"Dictionary","حَفاظة طِفل","HafaZa Tifl","Nappy"
"Dictionary","قَريب","qareeb","Near Noun"
"Dictionary","رَقبة","raqba","Neck Noun"
"Dictionary","جدِيد","jdid","New Adjective"
"Dictionary","أخبار","akhbar","News"
"Dictionary","جَريدة","jareeda","Newspaper Noun"
"Dictionary","لَيلة","layla","Night Noun"
"Dictionary","لا","la","No Functional"
"Dictionary","ضَجيج","Dajeej","Noisy"
"Dictionary","غير المُدَخِّنين","gheer il-moodakhkhineen","Non-smoking"
"Dictionary","شَمال","shamal","North"
"Dictionary","مَنخار","mankhar","Nose Noun"
"Dictionary","هَلَّأ","hallaa","Now Functional"
"Dictionary","رَقم","raqm","Number"
